Date,Open,High,Low,Close,Volume
2025-08-07,70,73.800003,60.029999,60.349998,30556600
2025-08-08,54.845001,57.07,49.110001,50.169998,8576200
2025-08-11,49.509998,54.950001,49.5,53.619999,3410100
2025-08-12,53.776001,55,51.34,51.465,1799000
2025-08-13,51.119999,53.599998,50.599998,50.75,3419300
2025-08-14,50.209999,51.25,46.312,49.330002,1878500
2025-08-15,49.279999,49.279999,46.389999,47.34,1010600
2025-08-18,47,48.73,46.330002,48.619999,610200
2025-08-19,48.550999,49.189999,45.009998,45.48,981700
2025-08-20,45.43,47,45,45.27,1433500
2025-08-21,45.369999,46.599998,44,46.27,727200
2025-08-22,46.049999,46.91,45,46.110001,1016600
2025-08-25,46.09,46.43,44.599998,44.724998,485600
2025-08-26,44.689999,45.255001,44.450001,45.049999,294400
2025-08-27,46.400002,47.799999,46.130001,47.029999,652100
2025-08-28,47.671001,48.950001,46.944,47.150002,570700
2025-08-29,46.540001,46.889999,45.154999,45.369999,376400
2025-09-02,45,46.09,43.605999,44.23,508300
2025-09-03,44.23,45.400002,42.507,44.380001,902300
2025-09-04,44.400002,44.990002,42.275002,42.82,771000
2025-09-05,42.959999,43.277,41.57,42.630001,390400
2025-09-08,42.549999,43.240002,41.75,42.779999,1035600
2025-09-09,42.700001,44.75,42.259998,44.540001,519600
2025-09-10,43.98,44.241001,42.529999,42.77,722600
2025-09-11,42.610001,43.330002,42.119999,42.970001,445700
2025-09-12,43.009998,43.759998,42.349998,43.75,369500
2025-09-15,44.259998,45,43.5,43.860001,328200
2025-09-16,44,45.450001,43.580002,43.849998,610900
2025-09-17,43.73,44.59,43.16,43.360001,503400
2025-09-18,43.93,45.599998,43.799999,45.220001,597100
2025-09-19,45.639999,46.209999,44.5,45.200001,2087500
2025-09-22,46.310001,49.59,45.66,49.52,2174100
2025-09-23,43.560001,44.889999,41.368,41.939999,3555500
2025-09-24,42.259998,42.631001,40.27,40.560001,1541100
2025-09-25,39.900002,40,36.689999,37.66,2357300
2025-09-26,37.599998,37.658001,35.009998,35.98,1652800
2025-09-29,36,36.990002,34.529999,36.959999,1664900
2025-09-30,31.754999,32,27.549999,29.32,7673000
2025-10-01,29.535,29.535,26.334999,26.67,5106500
2025-10-02,26.975,28.24,26.049999,26.799999,3377200
2025-10-03,27.120001,28,26.545,27.370001,2784100
2025-10-06,30.875,30.959999,28.610001,29.09,4947800
2025-10-07,29.25,29.785999,28.129999,28.440001,2618900
2025-10-08,28.610001,31.68,28.299999,31,4007800
2025-10-09,32.200001,33.32,29.775,30.059999,4144900
2025-10-10,30.959999,31.959999,28.35,28.360001,2860200
2025-10-13,28.629999,30.33,28.6,29.879999,1529300
2025-10-14,29.27,31.215,27.809999,30.09,1919600
2025-10-15,30.43,31.200001,28.940001,29.6,1396500
2025-10-16,29.799999,29.9,27.809999,28.049999,1649000
2025-10-17,27.610001,27.99,25.85,26.360001,1883700
2025-10-20,26.379999,27.459999,26.209999,27.120001,1167400
2025-10-21,26.85,28.75,26.360001,28.18,1349300
2025-10-22,27.799999,28.110001,25.5,26.24,1865900
2025-10-23,25.809999,26.74,25.809999,25.959999,1026100
2025-10-24,26.48,27.687,26.41,26.92,1342300
2025-10-27,27.200001,27.719999,26.745001,27.49,987000
2025-10-28,27.440001,27.59,25.719999,25.77,1318100
2025-10-29,25.67,25.77,24.65,25.049999,1957800
2025-10-30,24.51,25.07,24.059999,24.450001,972100
2025-10-31,24.450001,24.76,23.809999,24.26,1193800
2025-11-03,24.059999,24.066999,23.201,23.780001,981700
2025-11-04,22.66,24.299999,22.48,22.85,1269700
2025-11-05,22.610001,22.870001,22.17,22.5,1080700
2025-11-06,22.219999,22.275,19.190001,19.33,2607500
2025-11-07,19.02,20.25,18.389999,19.74,2365600
2025-11-10,20,20.289,18.82,19.24,1388300
2025-11-11,19,19.57,18.43,19.129999,1216000
2025-11-12,19.26,19.48,18.209999,18.309999,2410300
2025-11-13,22.67,24.219999,20.41,21.42,8164800
2025-11-14,20.969999,24.35,20.82,22.950001,4459700
2025-11-17,22.975,22.975,19.120001,19.48,3628800
2025-11-18,19,20.09,18.85,19.76,2150400
2025-11-19,19.73,20.209999,19.110001,19.42,1451900
2025-11-20,19.610001,20,16.9,16.92,2753800
2025-11-21,17.030001,17.4,16,16.780001,2111600
2025-11-24,16.75,17.049999,16.363001,16.860001,1569500
2025-11-25,16.969999,17.84,16.82,17.34,1523300
2025-11-26,17.620001,18.280001,17.17,17.43,1464100
2025-11-28,17.66,18.059999,17.485001,17.709999,720600
2025-12-01,17.190001,17.266001,16.549999,16.809999,1475900
2025-12-02,16.940001,18.525,16.84,17.9,2085200
2025-12-03,17.85,18.860001,17.51,18.549999,1811300
2025-12-04,18.690001,20.5,18.559999,20.219999,2279100
2025-12-05,20.379999,21.014999,19.665001,19.809999,1881800
2025-12-08,20.049999,20.379999,18.450001,19.129999,1755600
2025-12-09,19.15,19.950001,18.629999,19.459999,1342200
2025-12-10,19.52,21.879999,18.99,21.299999,3501800
2025-12-11,21.85,23.83,20.559999,23.51,3664800
2025-12-12,23.780001,24.190001,21.629999,22.1,3775300
2025-12-15,22.32,23.66,20.32,20.360001,3730200
2025-12-16,20,20.66,19.360001,20.280001,1511900
2025-12-17,20.389999,20.620001,18.52,18.530001,1527500
2025-12-18,19.209999,20.299999,18.940001,20.07,1882200
2025-12-19,20.34,24.91,20.299999,24.65,8173100
2025-12-22,25.51,28.74,25.33,28.6,6374400
2025-12-23,26.280001,27.48,25.91,26.459999,4372300
2025-12-24,27.09,27.9,25.459999,27.040001,2101500
2025-12-26,27,27.15,23.049999,23.34,3822300
2025-12-29,22.92,24.85,22.780001,23.6,2880000
2025-12-30,23.860001,24.450001,22.695,22.719999,3328800
2025-12-31,22.75,23.139999,21.969999,22.370001,3124800
2026-01-02,23.110001,23.82,21.618,23.76,4133600
2026-01-05,24.620001,26.07,23.75,25.77,3835900
2026-01-06,26.129999,27.219999,25,26.450001,4122400
2026-01-07,26.254999,29.01,25.299999,27.35,3681500
2026-01-08,28.1,31.25,27.469999,27.99,4255300
2026-01-09,28.445,31,26.51,30.110001,4235200
2026-01-12,30.379999,30.639999,28.33,30.440001,2646400
2026-01-13,31.42,31.5,27.455999,27.969999,3747100
2026-01-14,27.5,30.049999,26.43,30.01,3983400
2026-01-15,29.700001,30.879999,28.92,29.75,2362000
2026-01-16,30.790001,34.328999,30.66,33.41,5026800
2026-01-20,31.450001,34.369999,30.290001,30.34,4034300
2026-01-21,31,31.209999,27.4,28.9,4966400
2026-01-22,29.48,31.15,28.889999,30.92,2527500
2026-01-23,31.5,31.99,29.08,29.129999,3137600
2026-01-26,29.33,29.33,24.84,25.200001,4711100
2026-01-27,25.559999,29.729,25.200001,29.35,3867000
2026-01-28,29.33,30.190001,27.24,28.860001,3526400
2026-01-29,28.66,28.9,26.200001,27.09,2811600
2026-01-30,26.5,27.764999,24.41,25.200001,2962700
2026-02-02,24.52,25.49,22.309999,22.860001,4446400
2026-02-03,23.700001,25.120001,22.950001,25.059999,5368100
2026-02-04,25.049999,25.049999,23.055,24.41,5226100
2026-02-05,23.190001,24.43,21.950001,22.395,2341500
2026-02-06,23.389999,24.440001,23.110001,23.879999,2619300
2026-02-09,24,25.32,23.4,24.709999,2963600
2026-02-10,24.360001,24.629999,22.940001,23,2106800
2026-02-11,23.1,23.291,20.450001,20.82,3629800
2026-02-12,20.84,20.860001,18.799999,19.129999,3101400
2026-02-13,19.1,20.4,18.938,19.299999,2315700
2026-02-17,19,21.700001,18.618,20.379999,4286000
2026-02-18,20.35,22,20.16,21.469999,2743900
2026-02-19,20.75,21.91,20.52,21.530001,1612000
2026-02-20,21,21.76,19.84,19.98,2102100
2026-02-23,19.49,20.200001,19.209999,19.98,1370300
2026-02-24,19.98,20.719999,19.120001,20.700001,1643400
2026-02-25,20.700001,21.030001,19.959999,20.35,2261900
2026-02-26,20.379999,21.780001,20.049999,21.530001,2951300
2026-02-27,20.469999,20.690001,18.841999,19.27,3580200
2026-03-02,18.5,21.450001,18.112,20.92,3033900
2026-03-03,20.299999,21.25,19.559999,20.860001,1493500
2026-03-04,20.84,21.93,20.709999,21.4,1952500
2026-03-05,21.105,21.610001,19.450001,20.379999,1757100
2026-03-06,19.98,21.16,19.535,19.73,1524200
2026-03-09,19.530001,21.035,19.219999,20.75,2533800
2026-03-10,20.16,20.16,18.809999,19.389999,3296600
2026-03-11,19.18,20.615,19.15,20.6,2608800
2026-03-12,23.700001,25.17,22.91,23.23,14211600
2026-03-13,23.84,25.33,23.33,23.469999,5604800
2026-03-16,23.9,25.190001,22.77,23.93,3622000
2026-03-17,23.92,25.030001,23.577999,24.58,3062300
2026-03-18,24.07,24.49,23.049999,23.190001,3617000
2026-03-19,22.129999,23.469999,21.940001,22.959999,5401300
2026-03-20,25.549999,27.17,22.120001,23.219999,16002400
2026-03-23,22.639999,25.025,21.530001,24.01,7748100
2026-03-24,23.639999,24.299999,22.57,23.73,5120900
2026-03-25,24.629999,28.34,24.309999,27.530001,9597500
2026-03-26,26.9,28.120001,25.719999,26.809999,6404000
2026-03-27,26.200001,26.67,23.030001,23.705,6455000
2026-03-30,24.02,24.610001,22.782,23.620001,5325200
2026-03-31,24.674999,28.709999,24.525,28.469999,9350600
2026-04-01,29.120001,31.370001,28.84,29.76,9837500
2026-04-02,27.559999,33.080002,27.42,32.93,7634120
